Time,Time Code,Country Name,Country Code,GDP per person employed (constant 2011 PPP $) [SL.GDP.PCAP.EM.KD],"Population, total [SP.POP.TOTL]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
2016,YR2016,Timor-Leste,TLS,..,1268671,68.881
2016,YR2016,Togo,TGO,3114.85888671875,7606374,60.232
2016,YR2016,Tonga,TON,14232.5537109375,107122,73.029
2016,YR2016,Trinidad and Tobago,TTO,61721.7109375,1364962,70.673
2016,YR2016,Tunisia,TUN,35539.71875,11403248,75.731
2016,YR2016,Turkey,TUR,68674.9609375,79512426,75.755
2016,YR2016,Turkmenistan,TKM,35840.71875,5662544,67.835
2016,YR2016,Turks and Caicos Islands,TCA,..,34900,..
2016,YR2016,Tuvalu,TUV,..,11097,..
2016,YR2016,Uganda,UGA,4757.546875,41487965,59.889
2016,YR2016,Ukraine,UKR,17600.326171875,45004645,71.4763414634146
2016,YR2016,United Arab Emirates,ARE,98607.5703125,9269612,77.256
2016,YR2016,United Kingdom,GBR,79377.65625,65595565,80.9560975609756
2016,YR2016,United States,USA,111587.1484375,323405935,78.690243902439
2016,YR2016,Uruguay,URY,42705.76953125,3444006,77.493
2016,YR2016,Uzbekistan,UZB,14037.623046875,31847900,71.314
2016,YR2016,Vanuatu,VUT,6694.72314453125,270402,72.133
2016,YR2016,"Venezuela, RB",VEN,32454.9765625,31568179,74.545
2016,YR2016,Vietnam,VNM,9912.3994140625,94569072,76.253
2016,YR2016,Virgin Islands (U.S.),VIR,81945.328125,107510,79.2682926829268
2016,YR2016,West Bank and Gaza,PSE,..,4551566,73.473
2016,YR2016,"Yemen, Rep.",YEM,11881.8642578125,27584213,64.953
2016,YR2016,Zambia,ZMB,9574.755859375,16591390,61.874
2016,YR2016,Zimbabwe,ZWE,4010.79907226563,16150362,61.163
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 09/21/2018,,,,,,
